t,x,signal,noise,A,f0,snr_db,sigma
0.0,0.9014741002499395,1.0,-0.0985258997500605,1.0,125.0,-5,1.2574334296829353
0.001,0.6334240425235332,0.7071067811865476,-0.07368273866301434,1.0,125.0,-5,1.2574334296829353
0.002,0.3617731480271418,6.123233995736766e-17,0.3617731480271417,1.0,125.0,-5,1.2574334296829353
0.003,0.738667860144997,-0.7071067811865475,1.4457746413315444,1.0,125.0,-5,1.2574334296829353
0.004,-2.062151291973171,-1.0,-1.0621512919731713,1.0,125.0,-5,1.2574334296829353
0.005,-1.0583045097327157,-0.7071067811865477,-0.35119772854616793,1.0,125.0,-5,1.2574334296829353
0.006,0.021600917663633954,-1.8369701987210297e-16,0.021600917663634138,1.0,125.0,-5,1.2574334296829353
0.007,0.4027430615000322,0.7071067811865474,-0.30436371968651516,1.0,125.0,-5,1.2574334296829353
0.008,2.3286009448937817,1.0,1.3286009448937819,1.0,125.0,-5,1.2574334296829353
0.009000000000000001,3.0076324796174854,0.7071067811865477,2.3005256984309375,1.0,125.0,-5,1.2574334296829353
0.01,-0.7950626905354291,3.061616997868383e-16,-0.7950626905354294,1.0,125.0,-5,1.2574334296829353
0.011,-1.6806252509100554,-0.7071067811865467,-0.9735184697235089,1.0,125.0,-5,1.2574334296829353
0.012,-1.34853560142233,-1.0,-0.34853560142233003,1.0,125.0,-5,1.2574334296829353
0.013000000000000001,0.5182225854009296,-0.7071067811865471,1.2253293665874767,1.0,125.0,-5,1.2574334296829353
0.014,1.5052905132689158,-4.286263797015736e-16,1.5052905132689163,1.0,125.0,-5,1.2574334296829353
0.015,2.636619113902033,0.7071067811865466,1.9295123327154864,1.0,125.0,-5,1.2574334296829353
0.016,1.703631190607601,1.0,0.7036311906076008,1.0,125.0,-5,1.2574334296829353
0.017,0.9429926412698257,0.7071067811865472,0.23588586008327853,1.0,125.0,-5,1.2574334296829353
0.018000000000000002,-1.997331730467538,5.51091059616309e-16,-1.9973317304675384,1.0,125.0,-5,1.2574334296829353
0.019,0.8824702488208925,-0.7071067811865465,1.589577030007439,1.0,125.0,-5,1.2574334296829353
0.02,0.7805013593868406,-1.0,1.7805013593868406,1.0,125.0,-5,1.2574334296829353
0.021,0.70415704208159,-0.7071067811865474,1.4112638232681374,1.0,125.0,-5,1.2574334296829353
0.022,1.9509864869478912,-2.4499125789312946e-15,1.9509864869478937,1.0,125.0,-5,1.2574334296829353
0.023,-1.1510849061055075,0.7071067811865464,-1.8581916872920539,1.0,125.0,-5,1.2574334296829353
0.024,1.2533334219375725,1.0,0.25333342193757247,1.0,125.0,-5,1.2574334296829353
0.025,0.21670932713979063,0.7071067811865475,-0.49039745404675683,1.0,125.0,-5,1.2574334296829353
0.026000000000000002,0.39987357271086305,-9.803364199544708e-16,0.39987357271086404,1.0,125.0,-5,1.2574334296829353
0.027,-1.872965050870809,-0.7071067811865464,-1.1658582696842625,1.0,125.0,-5,1.2574334296829353
0.028,-2.3647501128014765,-1.0,-1.3647501128014763,1.0,125.0,-5,1.2574334296829353
0.029,-2.229535690718121,-0.7071067811865476,-1.5224289095315737,1.0,125.0,-5,1.2574334296829353
0.03,1.6076151743352896,-2.6948419387607653e-15,1.6076151743352922,1.0,125.0,-5,1.2574334296829353
0.031,-0.5442648947237768,0.7071067811865462,-1.251371675910323,1.0,125.0,-5,1.2574334296829353
0.032,0.874461387964995,1.0,-0.12553861203500502,1.0,125.0,-5,1.2574334296829353
0.033,1.9413031728274959,0.7071067811865476,1.2341963916409484,1.0,125.0,-5,1.2574334296829353
0.034,-1.0553947263760484,-7.354070601250002e-16,-1.0553947263760477,1.0,125.0,-5,1.2574334296829353
0.035,-3.318780953871442,-0.7071067811865461,-2.611674172684896,1.0,125.0,-5,1.2574334296829353
0.036000000000000004,-1.7285990553128954,-1.0,-0.7285990553128954,1.0,125.0,-5,1.2574334296829353
0.037,0.8926991121553677,-0.7071067811865502,1.599805893341918,1.0,125.0,-5,1.2574334296829353
0.038,2.9735629108544264,-2.939771298590236e-15,2.9735629108544295,1.0,125.0,-5,1.2574334296829353
0.039,0.37554637371033045,0.707106781186546,-0.33156040747621557,1.0,125.0,-5,1.2574334296829353
0.04,0.7163322186014397,1.0,-0.2836677813985603,1.0,125.0,-5,1.2574334296829353
0.041,1.7966143248803845,0.7071067811865503,1.0895075436938342,1.0,125.0,-5,1.2574334296829353
0.042,0.43967640501274446,-4.904777002955296e-16,0.43967640501274496,1.0,125.0,-5,1.2574334296829353
0.043000000000000003,-3.206972391739876,-0.707106781186546,-2.49986561055333,1.0,125.0,-5,1.2574334296829353
0.044,-2.3796282533471693,-1.0,-1.3796282533471695,1.0,125.0,-5,1.2574334296829353
0.045,0.27032355175063083,-0.7071067811865529,0.9774303329371837,1.0,125.0,-5,1.2574334296829353
0.046,-0.18742767251359838,-3.1847006584197066e-15,-0.18742767251359518,1.0,125.0,-5,1.2574334296829353
0.047,-1.3962771217725738,0.7071067811865434,-2.1033839029591173,1.0,125.0,-5,1.2574334296829353
0.048,-3.0492239037779125,1.0,-4.0492239037779125,1.0,125.0,-5,1.2574334296829353
0.049,-0.07840412048556555,0.7071067811865505,-0.785510901672116,1.0,125.0,-5,1.2574334296829353
0.05,-2.1289021921286375,-2.45548340466059e-16,-2.128902192128637,1.0,125.0,-5,1.2574334296829353
0.051000000000000004,-0.9269221302787088,-0.7071067811865458,-0.21981534909216302,1.0,125.0,-5,1.2574334296829353
0.052000000000000005,-3.49576802913642,-1.0,-2.49576802913642,1.0,125.0,-5,1.2574334296829353
0.053,-2.997164918538564,-0.707106781186553,-2.2900581373520112,1.0,125.0,-5,1.2574334296829353
0.054,-0.8839827673320898,-3.4296300182491773e-15,-0.8839827673320864,1.0,125.0,-5,1.2574334296829353
0.055,3.4003930206248434,0.7071067811865432,2.6932862394383,1.0,125.0,-5,1.2574334296829353
0.056,1.5370671385605281,1.0,0.5370671385605281,1.0,125.0,-5,1.2574334296829353
0.057,1.2683481993150123,0.7071067811865507,0.5612414181284616,1.0,125.0,-5,1.2574334296829353
0.058,-2.005179410630731,-6.189806365883577e-19,-2.005179410630731,1.0,125.0,-5,1.2574334296829353
0.059000000000000004,-3.178183954833772,-0.7071067811865456,-2.471077173647226,1.0,125.0,-5,1.2574334296829353
0.06,1.426721211613335,-1.0,2.426721211613335,1.0,125.0,-5,1.2574334296829353
0.061,2.457558369198643,-0.7071067811865532,3.164665150385196,1.0,125.0,-5,1.2574334296829353
0.062,-1.803237893515677,-3.674559378078648e-15,-1.8032378935156732,1.0,125.0,-5,1.2574334296829353
0.063,0.6656436722508353,0.707106781186543,-0.04146310893570769,1.0,125.0,-5,1.2574334296829353
0.064,-1.6805577652842953,1.0,-2.6805577652842953,1.0,125.0,-5,1.2574334296829353
0.065,1.3797547320511927,0.7071067811865508,0.6726479508646418,1.0,125.0,-5,1.2574334296829353
0.066,0.48940814986701303,2.443103791928823e-16,0.4894081498670128,1.0,125.0,-5,1.2574334296829353
0.067,0.8397001316369512,-0.7071067811865455,1.5468069128234967,1.0,125.0,-5,1.2574334296829353
0.068,-0.47459506505156834,-1.0,0.5254049349484317,1.0,125.0,-5,1.2574334296829353
0.069,1.4315149987079137,-0.7071067811865483,2.138621779894462,1.0,125.0,-5,1.2574334296829353
0.07,1.5487263431976799,-3.919488737908119e-15,1.5487263431976839,1.0,125.0,-5,1.2574334296829353
0.07100000000000001,1.7866792323330232,0.7071067811865479,1.0795724511464753,1.0,125.0,-5,1.2574334296829353
0.07200000000000001,0.8346062088911905,1.0,-0.16539379110880945,1.0,125.0,-5,1.2574334296829353
0.073,-1.3567312471016466,0.707106781186556,-2.0638380282882025,1.0,125.0,-5,1.2574334296829353
0.074,-0.13262322472382831,7.594667096623355e-15,-0.13262322472383592,1.0,125.0,-5,1.2574334296829353
0.075,-0.024813074540776414,-0.7071067811865402,0.6822937066457638,1.0,125.0,-5,1.2574334296829353
0.076,-1.178943410631574,-1.0,-0.17894341063157398,1.0,125.0,-5,1.2574334296829353
0.077,-0.4233786217741472,-0.7071067811865536,0.28372815941240637,1.0,125.0,-5,1.2574334296829353
0.078,-0.6720507428964454,-4.164418097737589e-15,-0.6720507428964412,1.0,125.0,-5,1.2574334296829353
0.079,-0.17855708004034665,0.7071067811865427,-0.8856638612268893,1.0,125.0,-5,1.2574334296829353
0.08,2.671981637943662,1.0,1.6719816379436618,1.0,125.0,-5,1.2574334296829353
0.081,0.17502420795457418,0.7071067811865511,-0.5320825732319769,1.0,125.0,-5,1.2574334296829353
0.082,-2.397271735066726,7.839596456452825e-15,-2.397271735066734,1.0,125.0,-5,1.2574334296829353
0.083,0.18317826782804947,-0.7071067811865501,0.8902850490145996,1.0,125.0,-5,1.2574334296829353
0.084,-2.1059670076625947,-1.0,-1.1059670076625947,1.0,125.0,-5,1.2574334296829353
0.085,-0.476532104691755,-0.7071067811865487,0.23057467649479366,1.0,125.0,-5,1.2574334296829353
0.08600000000000001,-3.4330862455001423,-4.40934745756706e-15,-3.433086245500138,1.0,125.0,-5,1.2574334296829353
0.08700000000000001,1.3347774970743527,0.7071067811865425,0.6276707158878103,1.0,125.0,-5,1.2574334296829353
0.088,0.6159337209514898,1.0,-0.3840662790485102,1.0,125.0,-5,1.2574334296829353
0.089,1.5777590856150234,0.7071067811865563,0.8706523044284671,1.0,125.0,-5,1.2574334296829353
0.09,0.09843084946755747,1.5189953173883297e-14,0.09843084946754227,1.0,125.0,-5,1.2574334296829353
0.091,-3.223419808394177,-0.7071067811865449,-2.5163130272076324,1.0,125.0,-5,1.2574334296829353
0.092,-1.6968263919487678,-1.0,-0.6968263919487679,1.0,125.0,-5,1.2574334296829353
0.093,0.15273158098141237,-0.7071067811865539,0.8598383621679663,1.0,125.0,-5,1.2574334296829353
0.094,-0.24096370724491192,-1.1759704174997533e-14,-0.24096370724490015,1.0,125.0,-5,1.2574334296829353
0.095,2.5370510499508248,0.7071067811865474,1.8299442687642775,1.0,125.0,-5,1.2574334296829353
0.096,-0.6016377628007523,1.0,-1.6016377628007523,1.0,125.0,-5,1.2574334296829353
0.097,-0.40467927231024636,0.7071067811865515,-1.1117860534967978,1.0,125.0,-5,1.2574334296829353
0.098,0.5530232828366387,8.329455176111767e-15,0.5530232828366304,1.0,125.0,-5,1.2574334296829353
0.099,-1.1985708593109234,-0.7071067811865397,-0.49146407812438375,1.0,125.0,-5,1.2574334296829353
0.1,-2.4744420058613303,-1.0,-1.4744420058613303,1.0,125.0,-5,1.2574334296829353
0.101,-1.4777202592798648,-0.7071067811865491,-0.7706134780933158,1.0,125.0,-5,1.2574334296829353
0.10200000000000001,1.6604500798561246,-4.899206177226001e-15,1.6604500798561295,1.0,125.0,-5,1.2574334296829353
0.10300000000000001,-0.6519080750139434,0.7071067811865421,-1.3590148562004856,1.0,125.0,-5,1.2574334296829353
0.10400000000000001,2.294443406335425,1.0,1.2944434063354249,1.0,125.0,-5,1.2574334296829353
0.105,1.3806307413318293,0.7071067811865567,0.6735239601452727,1.0,125.0,-5,1.2574334296829353
0.106,0.3916067645580926,1.5679811893542238e-14,0.39160676455807697,1.0,125.0,-5,1.2574334296829353
0.107,-2.0832130018139816,-0.7071067811865446,-1.3761062206274368,1.0,125.0,-5,1.2574334296829353
0.108,0.5664351872773425,-1.0,1.5664351872773425,1.0,125.0,-5,1.2574334296829353
0.109,-1.5317905561615048,-0.7071067811865542,-0.8246837749749507,1.0,125.0,-5,1.2574334296829353
0.11,-1.245816794799567,-1.2249562894656474e-14,-1.2458167947995549,1.0,125.0,-5,1.2574334296829353
