P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_37,P_38,P_39,P_40,P_41,P_42,P_43,Velocity_x,Velocity_y
1097.9,535.1,975.1,957.4,932.6,810.6,946.9,591.5,856.2,882.6,1051.8,1106.4,810.3,974.5,1048.7,926.9,1083.3,929.3,838.8,744.0,840.9,952.0,1032.1,955.7,952.0,1132.3,932.2,1059.8,1095.4,975.2,1007.7,949.2,1035.5,851.3,969.5,999.2,975.9,1033.2,1090.6,1217.2,1020.0,1230.3,1116.8,-5.838925358015514,6.716915263982672
859.6,487.0,1000.4,768.7,869.9,820.0,794.3,574.0,980.3,709.4,851.7,928.6,744.8,951.1,738.2,842.8,769.2,835.8,756.1,651.6,547.2,948.9,762.5,859.7,628.4,926.5,854.6,1024.0,892.2,851.9,693.3,722.6,757.7,751.6,699.7,687.7,760.9,780.0,926.3,904.1,808.9,959.5,881.5,-5.553784032778524,6.168102051462372
766.7,413.2,767.1,650.9,838.7,828.6,732.5,487.3,723.9,588.3,639.1,880.6,660.5,647.0,756.9,783.0,708.6,763.3,675.2,739.1,765.0,716.9,729.0,728.0,735.0,837.0,962.0,785.7,845.9,694.6,664.3,696.4,707.8,701.2,733.2,730.5,773.6,838.0,820.6,898.3,905.3,978.0,961.8,-5.9045961489014775,6.114388302878535
677.6,503.8,786.4,584.2,601.6,669.0,558.8,345.4,758.2,683.1,694.9,752.1,674.5,724.6,515.6,703.6,689.8,687.2,689.9,723.8,786.3,748.4,674.9,829.1,747.5,800.1,797.6,805.0,794.5,705.4,572.3,662.4,714.4,645.8,752.8,803.9,831.8,824.3,789.2,876.7,1006.7,853.3,899.3,-5.319587208487487,5.70455887262953
762.4,324.8,703.6,577.8,688.5,582.4,630.0,309.1,615.4,704.0,724.7,802.6,578.4,673.2,461.4,663.6,653.1,629.7,749.8,625.4,698.5,765.6,753.4,952.8,698.5,796.1,774.4,854.4,760.1,614.5,622.4,604.6,680.5,626.1,798.0,736.1,874.8,791.9,912.5,746.9,954.5,848.4,885.0,-5.735792809693067,4.986048620327855
645.4,365.9,768.0,623.5,523.9,515.0,571.0,334.2,500.4,697.3,697.3,643.2,600.4,546.0,616.5,623.5,543.6,662.3,678.9,661.0,696.2,730.9,747.2,778.6,684.0,845.1,634.0,659.1,578.9,598.9,638.7,638.2,645.6,772.2,724.5,722.4,823.9,728.6,811.3,888.9,771.6,927.2,793.4,-5.265746651658027,4.91038819244999
607.4,308.7,744.2,581.9,535.2,539.6,513.3,357.7,394.5,733.1,665.6,658.9,630.6,655.5,602.8,552.2,601.3,661.6,730.3,650.1,596.4,630.2,791.3,810.7,579.5,781.5,685.2,645.2,659.4,524.5,610.3,575.7,705.5,686.6,717.1,709.2,802.3,850.0,802.3,844.2,870.5,749.7,919.4,-4.973205171010359,4.63758884842499
880.5,268.5,669.8,662.4,742.0,630.2,522.1,218.7,461.2,970.6,856.4,691.2,791.1,770.2,620.6,501.4,602.8,752.8,931.9,766.2,770.0,800.1,761.5,922.9,629.4,797.9,745.3,592.0,632.8,607.7,741.1,669.4,781.4,764.9,854.6,856.5,892.6,949.3,882.8,823.7,836.4,979.8,1013.0,-5.3623071340531,4.342310698243878
1049.0,465.7,737.9,846.8,711.8,818.9,546.0,379.0,553.7,1064.7,954.4,783.8,846.6,695.2,650.0,636.1,714.2,835.5,992.0,707.2,834.2,795.9,868.3,763.1,795.5,909.5,799.1,748.6,832.5,762.1,959.7,790.6,767.6,792.9,830.8,943.2,978.2,1018.6,814.8,1084.5,953.1,999.0,1033.2,-4.753799060524608,4.432989340406241
1006.9,563.8,818.6,833.3,747.3,945.7,751.7,532.0,788.8,1271.4,915.6,714.4,1041.5,822.9,674.9,625.2,861.4,975.4,1038.7,942.7,826.4,839.4,806.7,822.7,935.9,942.7,913.2,829.6,1074.9,967.6,1007.7,953.8,847.5,781.9,863.3,955.3,985.4,881.7,871.6,1076.7,1024.8,984.6,976.6,-5.673165518635887,4.594038854663813
989.7,570.9,878.1,999.7,809.0,841.3,718.6,498.1,486.1,1097.7,991.5,640.6,979.5,928.3,664.8,552.4,831.8,1118.1,1061.4,763.6,763.3,831.0,826.1,775.9,767.0,851.0,696.9,832.2,700.9,796.2,779.0,772.5,944.7,696.1,949.5,711.4,1043.2,834.5,861.0,777.9,828.7,842.4,623.0,-5.3623071340531,4.342310698243878
1029.8,773.5,739.6,823.2,725.5,832.2,791.2,547.0,430.3,1005.8,819.1,728.8,650.8,568.3,622.1,442.6,620.7,982.5,968.0,925.3,756.2,868.7,783.9,881.9,628.4,664.9,690.2,554.9,519.2,699.6,543.7,649.3,827.8,665.8,871.9,638.0,741.4,774.2,753.4,736.6,616.7,940.7,645.0,-6.146483878132431,4.802159507540136
838.2,570.1,637.2,721.2,555.2,591.0,515.7,306.0,259.7,804.0,654.6,563.9,546.5,441.4,667.6,361.9,445.0,906.1,838.0,716.0,816.9,647.1,608.3,638.0,502.9,784.1,493.0,455.4,436.2,706.5,533.4,700.7,731.3,597.6,715.4,483.1,795.0,589.3,755.8,648.6,638.6,598.7,567.0,-5.516075275247053,4.309630327279609
866.3,396.1,799.3,805.6,518.4,537.9,460.2,275.7,383.5,806.5,805.4,736.5,479.2,806.6,381.5,522.6,465.5,946.9,998.6,816.5,587.9,514.9,585.6,623.5,684.6,706.1,501.8,747.2,508.7,774.2,1013.7,699.4,751.9,758.8,676.7,887.7,620.4,562.8,832.5,635.2,552.7,594.4,679.9,-4.81830496103322,3.901786424508992
1029.1,623.1,864.6,966.7,592.9,591.9,599.7,264.8,592.1,1167.6,1088.6,875.6,761.9,974.6,532.4,685.5,461.3,1015.7,968.2,608.5,642.0,675.7,663.4,645.1,724.2,861.4,720.5,538.2,737.1,1007.7,1103.8,791.1,1037.8,822.1,984.7,909.3,858.5,732.6,775.5,879.7,665.0,549.0,687.9,-4.384554470316625,3.9478705775172647
989.8,579.3,897.6,907.6,601.4,596.4,631.3,376.9,675.6,1014.4,1146.1,728.4,801.8,778.1,661.7,656.2,458.4,1116.2,907.0,868.0,833.5,942.4,728.2,830.5,712.6,803.4,604.7,753.9,575.4,881.7,833.3,1044.0,1042.3,1000.0,751.9,918.0,1012.1,790.7,756.1,648.4,696.6,524.7,808.5,-4.891510642302828,4.72367691912118
